Name	GWP_constr	GWP_op
TS_DEC_BOILER_WOOD	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000
SEASONAL_NG	0.000000	0.000000
SEASONAL_H2	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
SLF_STO	0.000000	0.000000
PT_STORAGE	0.000000	0.000000
ST_STORAGE	0.000000	0.000000
TS_MOLTEN_SALT	0.000000	0.000000
TS_COLD	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
DHN	0.000000	0.000000
GRID	0.000000	0.000000
PT_COLLECTOR	0.000000	0.000000
ST_COLLECTOR	0.000000	0.000000
H2_ELECTROLYSIS	0.000000	0.000000
H2_NG	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
GASIFICATION_SNG	0.000000	0.000000
PYROLYSIS	0.000000	0.000000
ATM_CCS	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000
SYN_METHANATION	0.000000	0.000000
BIOMETHANATION	0.000000	0.000000
SLF_TO_DIESEL	0.000000	0.000000
SLF_TO_GASOLINE	0.000000	0.000000
SLF_TO_LFO	0.000000	0.000000
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
NG	0.000000	0.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	0.000000	0.000000
WASTE	0.000000	0.000000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
